id;Название;Реставрация;Размер;Автор;Школа;Регион;Город;Страна;Материал;Персоналии;датировка окладов;Уточняющая датировка;Век;Страна (хранение);Место хранения;Иконография;Тип изображения;Фрагменты
1344.0;Косма и Дамиан, Иаков Перский (оборот иконы Введение во храм);FALSE;24,5 х 20 см;;;новгородская область;новгород;россия;Холст, левкас, темпера;мученик косма, мученик дамиан, иаков перский;;1491-1500;15.0;Россия;Новгородский государственный объединенный музей-заповедник;Святые;Многофигурное;Дамиан мученик, Иаков Перский
1345.0;Косма и Дамиан, Иаков Перский;TRUE;25 х 20,2 см;;;владимирская область;суздаль;россия;Холст, темпера;;;1551-1600;16.0;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Святые;Многофигурное;
1346.0;Косма и Дамиан, Иаков брат Господень;FALSE;85 х 65,5 см;;;новгородская область;новгород;россия;Дерево, темпера;мученик косма, мученик дамиан, апостол иаков, брат господень;;1501-1550;16.0;Россия;Центральный музей древнерусской культуры и искусства имени Андрея Рублева, Москва;Святые;Ростовое;
1347.0;Косма и Дамиан, в житии;TRUE;105 х 71,5 см;;;ярославская область;ростов великий;россия;Дерево, темпера;мученик косма, мученик дамиан;;1691-1700;17.0;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Святые;Ростовое с клеймами;
1348.0;Косма и Дамиан, в житии;TRUE;125,1 х 112,1 см;;;;;;Дерево, темпера;мученик косма, мученик дамиан;;1640-1660;17.0;Россия;Костромской государственный историко-архитектурный и художественный музей-заповедник;Святые;Ростовое с клеймами;
1349.0;Косма и Дамиан, в житии;TRUE;109,5 x 61,3 см;;ростовская школа;;;;Дерево, темпера;мученик косма, мученик дамиан;;;14.0;Россия;Вологодский государственный историко-архитектурный и художественный музей-заповедник;Святые;Ростовое с клеймами;Косма и Дамиан, Косма и Дамиан, Косма и Дамиан, Косма и Дамиан, Косма и Дамиан, Косма и Дамиан, Косма и Дамиан
1350.0;Косма и Дамиан, с праздниками и житием;TRUE;117,О х 84,5 см;;;костромская область;кострома;россия;Дерево, темпера;мученик косма, мученик дамиан;;1551-1600;16.0;Россия;Костромской государственный историко-архитектурный и художественный музей-заповедник;Святые;Ростовое с клеймами;
1351.0;Ксения преподобная, в житии;FALSE;69,5 х 55,5 см;;;московская область;сергиев посад;;Дерево, темпера;ксения преподобная;;1551;15.0;Россия;Сергиево-Посадский государственный историко-художественный музей-заповедник;Святые;Ростовое с клеймами;
1352.0;Лаврентий архидиакон;TRUE;253,0 х 78,5 см;;;костромская область;;россия;Дерево, темпера;архидиакон лаврентий;;1784;18.0;Россия;Богоявленский собор Богоявленского Анастасиина монастыря в Костроме;Святые;Ростовое;
1353.0;Лазарь четверодневный;FALSE;;;;;;;Дерево, темпера;епискоа кипрский лазарь четверодневный;;;17.0;Кипр;Храм св. Лазаря, Ларнака, Кипр;Святые;Поясное;
1354.0;Левий праотец;TRUE;134,6 x 47,3 см;Осипов (Игнатьев) Василий;;;;;Дерево, темпера;праотец левий;;1679-1680;17.0;Россия;Костромской государственный историко-архитектурный и художественный музей-заповедник;Святые;Ростовое;
1355.0;Левий праотец;TRUE;54,0 x 49,7 см;;;костромская область;;россия;Дерево, темпера;праотец левий;;1701-1725;18.0;Россия;Костромской государственный историко-архитектурный и художественный музей-заповедник;Святые;Поясное;
1356.0;Леонид Оптинский (портрет);FALSE;28,5 х 23,5 см;Иеромонах Гавриил;;;;;Холст, масло;преподобный леонид оптинский;;1834-1866;19.0;Россия;Российская Государственная библиотека, Москва;Святые;Поясное;
1357.0;Леонтий Ростовский (из деисусного чина);TRUE;191 х 78 см;Белозерские мастера;;;;;Дерево, темпера;святитель леонтий ростовский;;1497;15.0;Россия;Кирилло-Белозерский историко-архитектурный и художественный музей-заповедник;Святые;Ростовое;Леонтий Ростовский
1358.0;Леонтий Ростовский (из деисусного чина);TRUE;95,5 х 64,3;;;ярославская область;ростов великий;россия;Дерево, темпера;святитель леонтий ростовский;;1501-1533;16.0;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Святые;Поясное;
1359.0;Леонтий Ростовский (из деисусного чина);FALSE;86 х 36;;;ярославская область;ростов великий;россия;Дерево, темпера;святитель леонтий ростовский;;1651-1700;17.0;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Святые;Ростовое;
1360.0;Леонтий Ростовский (из деисусного чина);FALSE;45 х 19 см;;;московская область;;россия;Дерево, темпера;святитель леонтий ростовский;;1491-1500;15.0;Россия;Государственный Русский музей, Санкт-Петербург;Святые;Ростовое;
1361.0;Леонтий Ростовский;FALSE;21 х 28 см;;;;;;Дерево, темпера;святитель леонтий ростовский;;;16.0;Россия;Афон, монастырь Хиландар;Святые;Ростовое;
1362.0;Леонтий Ростовский;FALSE;;;;;;;Дерево, темпера;святитель леонтий ростовский;;1301-1310;14.0;Россия;Государственный Русский музей, Санкт-Петербург;Святые;Ростовое;
1363.0;Леонтий Ростовский;TRUE;168 х 76,5 см;Школа Дионисия;;;;;Дерево, темпера;святитель леонтий ростовский;;1476-1500;15.0;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Святые;Ростовое;Леонтий Ростовский
1364.0;Леонтий Ростовский;FALSE;97 х 64;;;ярославская область;ростов великий;россия;Дерево, темпера;святитель леонтий ростовский;;1540-1560;16.0;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Святые;Ростовое;
1365.0;Леонтий Ростовский, Михаил Архангел и Иоанн Кущник;FALSE;35,8 х 29 см;Максим Федоров Архиповский;;;;;Дерево, темпера;святитель леонтий ростовский, архангел михаил, преподобный иоанн кущник;;1801-1850;19.0;Россия;Частное собрание В.А. Бондаренко;Ангелы;Многофигурное;
1366.0;Леонтий, Исаия, Игнатий Ростовские;TRUE;111 х 82 см;;;ярославская область;ростов великий;россия;Дерево, темпера;святиетли леонтий, исаия, игнатий ростовские;;1491-1500;15.0;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Святые;Ростовое;Богоматерь Знамение
1367.0;Лука апостол (из деисусного чина);FALSE;157 х 52 см;;;;псков;;Дерево, темпера;апостол лука;;1401-1450;15.0;Россия;Псковский государственный объединенный историко-архитектурный и художественный музей-заповедник;Святые;Ростовое;
1368.0;Лука апостол (из деисусного чина);FALSE;99 х 68 см;;;афон;;;Дерево, темпера;апостол лука;;;14.0;Сербия;Афон, монастырь Хиландар;Святые;Поясное;Лука евангелист
1369.0;Лука апостол;FALSE;20,8 х 15,5 см;Константинополь;;;;;Темпера, бумага;апостол лука;;1300;14.0;Греция;Музей Пола Гетти, Лос-Анджелес;Святые;Ростовое;
1370.0;Лука апостол;TRUE;15,3 х 11,7 см;Феодосий;;;;;Дерево, темпера;апостол лука;;1502;16.0;Россия;Кирилло-Белозерский историко-архитектурный и художественный музей-заповедник;Святые;Ростовое;
1371.0;Лука апостол;TRUE;29 х 29 см;Симон Ушаков;;;;;Дерево, темпера;апостол лука;;1691-1700;17.0;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Святые;Оглавное или оплечное;
