статус;id;персоналии_файл1;персоналии_файл2;добавлено;удалено
в обоих файлах;2862.0;праведный иоаким, праведная анна;праведный иоаким, праведная анна;;
в обоих файлах;2863.0;ангел, праведная анна;ангел, праведная анна;;
в обоих файлах;2864.0;праведный иоаким, праведная анна;праведный иоаким, праведная анна;;
изменено;2865.0;иоанн предтеча праведный, захария праведная, елисавета;иоанн предтеча праведный, праведный захария, елисавета;праведный захария;захария праведная
в обоих файлах;2866.0;спаситель, богоматерь, праведный иосиф обручник;спаситель, богоматерь, праведный иосиф обручник;;
в обоих файлах;2867.0;;;;
изменено;2868.0;богоматерь, андрей юродивый, роман сладкопевец, святые, народ;богоматерь, блаженный андрей юродивый, роман сладкопевец, святые, народ;блаженный андрей юродивый;андрей юродивый
изменено;2869.0;спаситель, богородица, андрей юродивый, роман сладкопевец, святые, народ;спаситель, богоматерь, блаженный андрей юродивый, роман сладкопевец, святые, народ;блаженный андрей юродивый, богоматерь;андрей юродивый, богородица
изменено;2870.0;спаситель, богородица, ангелы, святые, молящиеся;спаситель, богоматерь, ангелы, святые, молящиеся;богоматерь;богородица
изменено;2871.0;богоматерь, андрей юродивый, роман сладкопевец, святые, народ;богоматерь, блаженный андрей юродивый, роман сладкопевец, святые, народ;блаженный андрей юродивый;андрей юродивый
изменено;2872.0;богоматерь, андрей юродивый, роман сладкопевец, святые, народ;богоматерь, блаженный андрей юродивый, роман сладкопевец, святые, народ;блаженный андрей юродивый;андрей юродивый
изменено;2873.0;богоматерь, роман сладкопевец, андрей юродивый, епифаний;богоматерь, роман сладкопевец, блаженный андрей юродивый, епифаний;блаженный андрей юродивый;андрей юродивый
изменено;2874.0;богоматерь, андрей юродивый, роман сладкопевец, святые, народ;богоматерь, блаженный андрей юродивый, роман сладкопевец, святые, народ;блаженный андрей юродивый;андрей юродивый
изменено;2875.0;спаситель, богоматерь, блаженный андрей, преподобный роман сладкопевец, мученик антоний, мученица иулиания, преподобный павел обнорский;спаситель, богоматерь, блаженный андрей юродивый, преподобный роман сладкопевец, мученик антоний, мученица иулиания, преподобный павел обнорский;блаженный андрей юродивый;блаженный андрей
изменено;2876.0;спаситель, богородица, андрей юродивый, роман сладкопевец, ангелы, святые;спаситель, богоматерь, блаженный андрей юродивый, роман сладкопевец, ангелы, святые;блаженный андрей юродивый, богоматерь;андрей юродивый, богородица
изменено;2877.0;спаситель, богородица, преподобный роман сладкопевец, ангелы, блаженный андрей, пророки, апостолы, святители, мученики, преподобные;спаситель, богоматерь, преподобный роман сладкопевец, ангелы, блаженный андрей юродивый, пророки, апостолы, святители, мученики, преподобные;блаженный андрей юродивый, богоматерь;блаженный андрей, богородица
изменено;2878.0;спаситель, богородица, ангелы, блаженный андрей, пророки, апостолы, святители, мученики, преподобные;спаситель, богоматерь, ангелы, блаженный андрей юродивый, пророки, апостолы, святители, мученики, преподобные;блаженный андрей юродивый, богоматерь;блаженный андрей, богородица
изменено;2879.0;спаситель, богородица, преподобный роман сладкопевец, ангелы, блаженный андрей, пророки, апостолы, святители, мученики, преподобные;спаситель, богоматерь, преподобный роман сладкопевец, ангелы, блаженный андрей юродивый, пророки, апостолы, святители, мученики, преподобные;блаженный андрей юродивый, богоматерь;блаженный андрей, богородица
изменено;2880.0;богоматерь, андрей юродивый, роман сладкопевец, святые, народ;богоматерь, блаженный андрей юродивый, роман сладкопевец, святые, народ;блаженный андрей юродивый;андрей юродивый
изменено;2881.0;спаситель, богородица, ангелы, блаженный андрей, пророки, апостолы, святители, мученики, преподобные;спаситель, богоматерь, ангелы, блаженный андрей юродивый, пророки, апостолы, святители, мученики, преподобные;блаженный андрей юродивый, богоматерь;блаженный андрей, богородица
изменено;2882.0;спаситель, богородица, иоанн предтеча, ап. петр,ап. филипп, ап. иоанн богослов, свт. василий великий, свт. григорий богослов, свт. николай мирликийский, свт. иоанн златоуст, алексий человек божий;спаситель, богоматерь, пророк иоанн предтеча, петр, филипп, апостол иоанн богослов, святитель василий великий, святитель григорий богослов, святитель николай, святитель иоанн златоуст, алексий человек божий;апостол иоанн богослов, богоматерь, петр, пророк иоанн предтеча, святитель василий великий, святитель григорий богослов, святитель иоанн златоуст, святитель николай, филипп;ап. иоанн богослов, ап. петр, ап. филипп, богородица, иоанн предтеча, свт. василий великий, свт. григорий богослов, свт. иоанн златоуст, свт. николай мирликийский
изменено;2883.0;спаситель, богородица, ангелы, преп. роман сладкопевец, блаж. андрей юродивый;спаситель, богоматерь, ангелы, роман сладкопевец, блаженный андрей юродивый;блаженный андрей юродивый, богоматерь, роман сладкопевец;блаж. андрей юродивый, богородица, преп. роман сладкопевец
изменено;2884.0;богоматерь, андрей юродивый, роман сладкопевец, святые, народ;богоматерь, блаженный андрей юродивый, роман сладкопевец, святые, народ;блаженный андрей юродивый;андрей юродивый
изменено;2885.0;спаситель, богородица, ангелы,святые, молящиеся;спаситель, богоматерь, ангелы, святые, молящиеся;богоматерь;богородица
в обоих файлах;2886.0;богоматерь;богоматерь;;
в обоих файлах;2887.0;богоматерь;богоматерь;;
в обоих файлах;2888.0;богоматерь;богоматерь;;
в обоих файлах;2889.0;патриарх филарет, царь романов михаил федорович;патриарх филарет, царь романов михаил федорович;;
в обоих файлах;2890.0;святитель геннадий цареградский, император лев великий;святитель геннадий цареградский, император лев великий;;
изменено;2891.0;спаситель, пророк моисей, пророк илия, апостол иоанн, апостол иаков, апостол петр;спаситель, пророк моисей, пророк илия, апостол иоанн богослов, апостол иаков, апостол петр;апостол иоанн богослов;апостол иоанн
изменено;2892.0;спаситель, пророк моисей, пророк илия, апостол иоанн, апостол иаков, апостол петр, ктиторы;спаситель, пророк моисей, пророк илия, апостол иоанн богослов, апостол иаков, апостол петр, ктиторы;апостол иоанн богослов;апостол иоанн
изменено;2893.0;спаситель, апостол петр, апостол иоанн, апостол иаков, пророк моисей, пророк илия;спаситель, апостол петр, апостол иоанн богослов, апостол иаков, пророк моисей, пророк илия;апостол иоанн богослов;апостол иоанн
изменено;2894.0;спаситель, прор.илия, прор.моисей, ап.петр, ап.иаков, ап.иоанн;спаситель, пророк илия, пророк моисей, апостол петр, апостол иаков, апостол иоанн богослов;апостол иаков, апостол иоанн богослов, апостол петр, пророк илия, пророк моисей;ап.иаков, ап.иоанн, ап.петр, прор.илия, прор.моисей
изменено;2895.0;спаситель, моисей, илия, апостолы петр, иоанн, иаков;спаситель, пророк моисей, пророк илия, апостол петр, апостол иоанн богослов, иаков;апостол иоанн богослов, апостол петр, пророк илия, пророк моисей;апостолы петр, илия, иоанн, моисей
изменено;2896.0;спаситель, ангелы, ап.петр, ап.иоанн, ап.иаков, прор.моисей, прор.илия;спаситель, ангелы, апостол петр, апостол иоанн богослов, апостол иаков, пророк моисей, пророк илия;апостол иаков, апостол иоанн богослов, апостол петр, пророк илия, пророк моисей;ап.иаков, ап.иоанн, ап.петр, прор.илия, прор.моисей
изменено;2897.0;спаситель, пророк моисей, пророк илия, апостол иоанн, апостол иаков, апостол петр;спаситель, пророк моисей, пророк илия, апостол иоанн богослов, апостол иаков, апостол петр;апостол иоанн богослов;апостол иоанн
изменено;2898.0;спаситель, пророк моисей, пророк илия, апостол иоанн, апостол иаков, апостол петр;спаситель, пророк моисей, пророк илия, апостол иоанн богослов, апостол иаков, апостол петр;апостол иоанн богослов;апостол иоанн
изменено;2899.0;спаситель, пророк моисей, пророк илия, апостол иоанн, апостол иаков, апостол петр;спаситель, пророк моисей, пророк илия, апостол иоанн богослов, апостол иаков, апостол петр;апостол иоанн богослов;апостол иоанн
изменено;2900.0;спаситель, пророк моисей, пророк илия, апостол иоанн, апостол иаков, апостол петр;спаситель, пророк моисей, пророк илия, апостол иоанн богослов, апостол иаков, апостол петр;апостол иоанн богослов;апостол иоанн
изменено;2901.0;спаситель, пророк моисей, пророк илия, апостол иоанн, апостол иаков, апостол петр;спаситель, пророк моисей, пророк илия, апостол иоанн богослов, апостол иаков, апостол петр;апостол иоанн богослов;апостол иоанн
изменено;2902.0;спаситель, прор.илия, прор.моисей, ап.петр, ап.иаков, ап.иоанн;спаситель, пророк илия, пророк моисей, апостол петр, апостол иаков, апостол иоанн богослов;апостол иаков, апостол иоанн богослов, апостол петр, пророк илия, пророк моисей;ап.иаков, ап.иоанн, ап.петр, прор.илия, прор.моисей
изменено;2903.0;спаситель, прор.илия, прор.моисей, ап.петр, ап.иаков, ап.иоанн;спаситель, пророк илия, пророк моисей, апостол петр, апостол иаков, апостол иоанн богослов;апостол иаков, апостол иоанн богослов, апостол петр, пророк илия, пророк моисей;ап.иаков, ап.иоанн, ап.петр, прор.илия, прор.моисей
изменено;2904.0;спаситель, пророк моисей, пророк илия, апостол иоанн, апостол иаков, апостол петр;спаситель, пророк моисей, пророк илия, апостол иоанн богослов, апостол иаков, апостол петр;апостол иоанн богослов;апостол иоанн
изменено;2905.0;спаситель, пророк илия, пророк моисей, апостол петр, апостол иоанн, апостол иаков;спаситель, пророк илия, пророк моисей, апостол петр, апостол иоанн богослов, апостол иаков;апостол иоанн богослов;апостол иоанн
изменено;2906.0;спаситель, пророк илия, пророк моисей, апостол иоанн, апостол иаков, апостол петр;спаситель, пророк илия, пророк моисей, апостол иоанн богослов, апостол иаков, апостол петр;апостол иоанн богослов;апостол иоанн
изменено;2907.0;спаситель, пророк илия, пророк моисей, апостол иоанн, апостол иаков, апостол петр;спаситель, пророк илия, пророк моисей, апостол иоанн богослов, апостол иаков, апостол петр;апостол иоанн богослов;апостол иоанн
изменено;2908.0;спаситель, пророк илия, пророк моисей, апостол иоанн, апостол иаков, апостол петр;спаситель, пророк илия, пророк моисей, апостол иоанн богослов, апостол иаков, апостол петр;апостол иоанн богослов;апостол иоанн
